Time,Lat,Lon,Alt,Sats,Zero, meshtastic_position_listener.py 2026-08-06 18:44:38.084195
18:44:40.501569,43.305738,-70.974395,54.00,None,0
18:44:40.504254,43.305742,-70.974401,55.00,None,0
18:44:47.190698,43.305752,-70.974404,56.00,None,0
18:44:57.160098,43.305762,-70.974409,57.00,None,0
18:45:07.171573,43.305769,-70.974411,58.00,None,0
18:45:17.241497,43.305774,-70.974414,59.00,None,0
18:45:27.223566,43.305779,-70.974413,59.00,None,0
18:45:37.237629,43.305783,-70.974408,59.00,None,0
18:45:47.265426,43.305787,-70.974406,59.00,None,0
18:45:57.233378,43.305789,-70.974406,60.00,None,0
18:46:07.248009,43.305806,-70.974423,61.00,None,0
18:46:17.222974,43.305793,-70.974391,61.00,None,0
18:46:27.251275,43.305789,-70.974394,62.00,None,0
18:46:37.248081,43.305788,-70.974392,63.00,None,0
18:46:47.266211,43.305727,-70.974359,64.00,None,0
18:46:57.254428,43.305618,-70.974571,65.00,None,0
18:47:37.300277,43.305796,-70.974636,68.00,None,0
18:47:47.337184,43.305737,-70.974297,68.00,None,0
18:47:57.404699,43.305687,-70.974275,67.00,None,0
18:48:07.342162,43.305493,-70.974444,67.00,None,0
18:48:17.355435,43.305416,-70.974901,67.00,None,0
18:48:27.399584,43.305304,-70.975260,67.00,None,0
18:48:47.385801,43.305162,-70.975943,68.00,None,0
18:48:57.433858,43.305330,-70.976073,70.00,None,0
18:49:07.425684,43.305604,-70.976142,72.00,None,0
18:49:37.503440,43.306132,-70.975496,73.00,None,0
18:49:47.488537,43.306279,-70.975071,72.00,None,0
18:49:57.471940,43.306380,-70.974681,70.00,None,0
18:50:17.555886,43.305662,-70.974033,68.00,None,0
18:50:37.523012,43.305188,-70.974332,68.00,None,0
18:50:47.582585,43.305017,-70.974662,68.00,None,0
18:50:57.618616,43.304930,-70.975046,69.00,None,0
18:51:17.583999,43.304776,-70.975799,68.00,None,0
18:51:27.628539,43.304924,-70.975982,68.00,None,0
18:51:37.621651,43.305249,-70.976072,69.00,None,0
18:51:57.614915,43.306041,-70.976309,73.00,None,0
18:52:47.711250,43.306642,-70.974837,71.00,None,0
18:53:07.727531,43.306838,-70.974161,71.00,None,0
18:53:17.781053,43.307182,-70.974363,75.00,None,0
18:53:37.762721,43.307712,-70.974467,75.00,None,0
18:53:47.731201,43.307423,-70.974513,72.00,None,0
18:53:57.757441,43.307096,-70.974277,74.00,None,0
18:54:07.802992,43.306787,-70.974083,73.00,None,0
18:54:27.806129,43.306146,-70.973515,72.00,None,0
18:54:37.801116,43.305843,-70.973164,72.00,None,0
18:54:57.854251,43.305870,-70.972393,72.00,None,0
18:55:17.902919,43.306527,-70.971690,70.00,None,0
18:55:27.846502,43.306845,-70.971341,70.00,None,0
18:56:07.968953,43.307945,-70.970061,70.00,None,0
18:56:58.044864,43.306474,-70.971711,66.00,None,0
18:57:07.995118,43.306143,-70.972080,65.00,None,0
18:57:28.042125,43.305564,-70.972572,66.00,None,0
18:57:48.048393,43.305104,-70.971778,67.00,None,0
18:58:08.081606,43.305425,-70.971193,70.00,None,0
18:58:18.115254,43.305710,-70.970877,72.00,None,0
18:58:38.085173,43.306259,-70.970241,74.00,None,0
18:59:18.153673,43.306016,-70.970369,70.00,None,0
18:59:28.152079,43.305687,-70.970731,68.00,None,0
18:59:58.306862,43.304883,-70.971187,70.00,None,0
19:00:08.203167,43.304715,-70.970628,70.00,None,0
19:00:18.253493,43.304586,-70.970015,69.00,None,0
19:01:38.319843,43.304579,-70.970130,69.00,None,0
19:01:58.307124,43.304875,-70.971372,68.00,None,0
19:02:08.334551,43.304898,-70.971872,69.00,None,0
19:02:28.388401,43.304451,-70.972817,68.00,None,0
19:02:58.431821,43.304013,-70.973495,68.00,None,0
19:04:08.524332,43.303919,-70.975657,69.00,None,0
19:04:18.517972,43.304339,-70.975825,69.00,None,0
19:04:38.539132,43.304959,-70.975972,70.00,None,0
19:04:48.518494,43.305193,-70.976146,70.00,None,0
19:05:08.531847,43.305966,-70.976386,72.00,None,0
19:05:18.596155,43.306307,-70.976611,72.00,None,0
19:07:48.825690,43.304231,-70.976489,76.00,None,0
19:08:18.748211,43.304959,-70.976022,76.00,None,0
19:08:38.808164,43.305428,-70.975155,75.00,None,0
19:08:48.837779,43.305605,-70.974610,74.00,None,0
19:08:58.896460,43.305754,-70.974386,73.00,None,0
19:09:08.869787,43.305757,-70.974384,73.00,None,0
19:09:18.888726,43.305757,-70.974380,73.00,None,0
19:09:28.852345,43.305759,-70.974376,74.00,None,0
19:09:38.851446,43.305758,-70.974379,74.00,None,0
